Time (ms),Amplitude
297000.0,-0.365
297002.7777777778,-0.36
297005.5555555555,-0.385
297008.3333333333,-0.39
297011.1111111111,-0.4
297013.88888888893,-0.395
297016.6666666666,-0.39
297019.44444444444,-0.395
297022.22222222225,-0.38
297025.0,-0.375
297027.7777777777,-0.385
297030.5555555556,-0.38
297033.3333333334,-0.375
297036.1111111111,-0.385
297038.8888888889,-0.38
297041.6666666667,-0.375
297044.44444444444,-0.38
297047.2222222222,-0.38
297050.0,-0.38
297052.7777777778,-0.385
297055.5555555556,-0.375
297058.3333333333,-0.365
297061.1111111111,-0.345
297063.8888888889,-0.345
297066.6666666667,-0.34
297069.44444444444,-0.33
297072.2222222222,-0.34
297075.0,-0.35
297077.7777777778,-0.365
297080.5555555556,-0.375
297083.3333333333,-0.385
297086.1111111111,-0.37
297088.8888888889,-0.36
297091.6666666666,-0.33
297094.44444444444,-0.32
297097.22222222225,-0.315
297100.0,-0.32
297102.7777777777,-0.33
297105.5555555556,-0.345
297108.3333333334,-0.345
297111.11111111107,-0.34
297113.8888888889,-0.345
297116.6666666667,-0.335
297119.4444444445,-0.32
297122.2222222222,-0.33
297125.0,-0.31
297127.7777777778,-0.3
297130.5555555555,-0.29
297133.3333333333,-0.255
297136.1111111111,-0.24
297138.88888888893,-0.23
297141.6666666666,-0.225
297144.44444444444,-0.24
297147.22222222225,-0.255
297150.0,-0.27
297152.7777777777,-0.27
297155.5555555556,-0.265
297158.3333333334,-0.25
297161.1111111111,-0.245
297163.8888888889,-0.245
297166.6666666667,-0.26
297169.44444444444,-0.275
297172.2222222222,-0.27
297175.0,-0.29
297177.7777777778,-0.3
297180.5555555556,-0.315
297183.3333333333,-0.32
297186.1111111111,-0.325
297188.8888888889,-0.325
297191.6666666667,-0.335
297194.44444444444,-0.335
297197.2222222222,-0.32
297200.0,-0.315
297202.7777777778,-0.3
297205.5555555556,-0.265
297208.3333333333,-0.25
297211.1111111111,-0.21
297213.8888888889,-0.19
297216.6666666666,-0.2
297219.44444444444,-0.24
297222.22222222225,-0.35
297225.0,-0.51
297227.7777777777,-0.7
297230.5555555556,-0.91
297233.3333333334,-1.095
297236.11111111107,-1.255
297238.8888888889,-1.385
297241.6666666667,-1.51
297244.4444444445,-1.59
297247.2222222222,-1.64
297250.0,-1.68
297252.7777777778,-1.67
297255.5555555555,-1.625
297258.3333333333,-1.58
297261.1111111111,-1.51
297263.88888888893,-1.425
297266.6666666666,-1.355
297269.44444444444,-1.28
297272.22222222225,-1.225
297275.0,-1.175
297277.7777777777,-1.12
297280.5555555556,-1.06
297283.3333333334,-1.01
297286.1111111111,-0.965
297288.8888888889,-0.92
297291.6666666667,-0.89
297294.44444444444,-0.875
297297.2222222222,-0.85
